"cor.mean","cor.var","R2.loading","R2.intercept"
0.929939792008757,0.747126436781609,0.89161935255123,0.980324859755779
0.939244663382594,0.781609195402299,0.92773868443907,0.978414760371481
0.941981390257252,0.76464148877942,0.917178256018949,0.980761544509906
0.909688013136289,0.695128626163109,0.905417513265894,0.981184642261286
0.914066776135742,0.661740558292282,0.919396494413389,0.979415389158019
0.936507936507937,0.731253420908593,0.922963822370247,0.982063016374901
0.911330049261084,0.717569786535304,0.893891058276663,0.981317093413211
0.877394636015326,0.746031746031746,0.926930773800124,0.979130473937121
0.915708812260536,0.66447728516694,0.912343696175096,0.980165575526214
0.948549534756431,0.79255610290093,0.923018218105468,0.982748705584814
