"cor.mean","cor.var","R2.loading","R2.intercept"
1,0.976190476190476,0.995799235430797,0.999478317534456
1,0.952380952380953,0.996965307484128,0.99917441549587
1,1,0.997012310041376,0.999460803190562
1,0.952380952380953,0.9955517238234,0.999327483318945
1,1,0.996130839690686,0.999340499994553
1,1,0.996794077086391,0.999416768062428
1,1,0.996520298893346,0.999253179982385
0.976190476190476,1,0.996196788361981,0.999390896538792
1,0.976190476190476,0.99773035916255,0.999537753881641
1,1,0.996400797192472,0.999279837834556
0.976190476190476,1,0.996899466488854,0.999503655047123
1,1,0.997026344126088,0.999437999602509
1,0.976190476190476,0.997271923813979,0.999331599535842
1,1,0.997359851787292,0.999424557197755
1,0.976190476190476,0.996256988377433,0.999279146937411
1,0.952380952380953,0.996058500588945,0.999354331152302
1,0.976190476190476,0.996974714233561,0.999380596536457
1,1,0.99621423168683,0.999378743446744
1,1,0.995358551580439,0.99936405163549
1,1,0.996276964993515,0.999327747143296
0.976190476190476,0.976190476190476,0.996070500462301,0.999307504901761
1,1,0.996352928662014,0.999350035921096
0.976190476190476,1,0.996325688382662,0.999443018478416
1,1,0.996722169655424,0.999519573319371
1,1,0.99638307375649,0.999437617060397
1,1,0.995524618929093,0.999434877080938
1,1,0.995141981586321,0.999298216688628
1,0.976190476190476,0.996638629965185,0.999501681652551
1,1,0.99715704253315,0.999521198444376
1,1,0.996389253600628,0.999372335738176
1,0.952380952380953,0.995885190296765,0.999391615109321
1,1,0.996485335342418,0.999373480691559
1,1,0.99713907098984,0.999355084427896
1,0.976190476190476,0.99642915093361,0.999302721550535
1,1,0.997305968379685,0.999430750964273
1,1,0.997369962996369,0.999290472747965
1,0.976190476190476,0.996255466564875,0.999041890843415
1,1,0.997052577220679,0.999431176644876
1,0.976190476190476,0.9953578304073,0.999211934908059
1,1,0.996818386968326,0.999353080634402
1,1,0.99637432727295,0.999418989144481
1,1,0.996347021945649,0.999340122903099
1,1,0.995267092156339,0.999219512907982
1,0.976190476190476,0.995949549696165,0.999358505581413
1,1,0.997155999411751,0.99949784759308
0.976190476190476,1,0.996389607807535,0.999316635921042
1,0.976190476190476,0.996239385552153,0.999386397155315
1,0.976190476190476,0.996497669197651,0.999181590445107
1,1,0.997079439687101,0.999394624055037
1,1,0.996871682392832,0.999392187080253
1,0.952380952380953,0.996481043189742,0.99942224976689
1,1,0.99588842900536,0.999253104690643
1,1,0.995408628705412,0.999264994181679
1,1,0.994992331556431,0.999357010512959
1,1,0.995972285016824,0.999377853470207
1,0.976190476190476,0.995384298690278,0.99927678484886
1,0.976190476190476,0.996381384190104,0.99947702996241
1,0.976190476190476,0.997224630552883,0.999439075098185
1,1,0.996719844218708,0.999365119205514
1,0.976190476190476,0.99694892480224,0.999459034475857
1,1,0.996570379933932,0.999337938643095
1,1,0.997258263581183,0.99938553071828
1,1,0.996959620981751,0.999280787862435
1,1,0.997326221729793,0.999385165085527
1,1,0.99691418534278,0.99939233575761
1,1,0.997058917098544,0.999324750928998
1,1,0.996909078302432,0.999423966769153
1,1,0.997272149096731,0.999409363703246
1,1,0.996853534355247,0.9995202915594
0.976190476190476,1,0.995638421411026,0.99927004476038
1,1,0.996536301782394,0.999437410211534
0.976190476190476,1,0.995863776687863,0.999359499032686
1,1,0.995735792794005,0.99929828173853
1,1,0.99696806146164,0.999379178328438
0.976190476190476,1,0.995703512902167,0.999223964477816
